normalized-VI,homogeneity,completeness,V-score,avg_loss,epoch
0.7688809107687894,0.23896431103689084,0.22377261238462062,0.23111908923121063,203.87501525878906,1
0.7272782604301887,0.2808053870330701,0.2650904828068378,0.27272173956981133,153.1344757080078,2
0.7000912877418525,0.3081210141718042,0.292122808066714,0.2999087122581475,151.19483947753906,3
0.6840696338600517,0.324835290988966,0.30750064735123517,0.3159303661399487,150.1561737060547,4
0.6701409846880227,0.3385086071647548,0.32164043986285384,0.3298590153119777,149.46669006347656,5
0.6567710789667296,0.3517690979282271,0.33509358867878836,0.34322892103327074,148.87088012695312,6
0.6452921389305678,0.3631718273195092,0.34662942670795244,0.3547078610694327,148.39407348632812,7
0.6358563276848253,0.37198258071764856,0.35662832899104735,0.3641436723151748,147.90673828125,8
0.6243756032536634,0.3830611859640631,0.36847086550885044,0.3756243967463368,147.4569091796875,9
0.6119593619974811,0.3946929920529252,0.381608811310118,0.388040638002519,146.97914123535156,10
0.6079407876261315,0.3981948427390309,0.3861097958238019,0.39205921237386904,146.5196075439453,11
0.5994749144841328,0.40556228652801907,0.3956114764457745,0.4005250855158671,146.098388671875,12
0.5903885802671857,0.41391677889941186,0.40539470301656233,0.4096114197328145,145.6295166015625,13
0.5837194806359396,0.41985231093518416,0.41276898744727447,0.4162805193640607,145.2278289794922,14
0.5731629493355641,0.4290803243924795,0.42461711105045913,0.42683705066443633,144.80677795410156,15
0.565893140563678,0.4358501162920663,0.43237749193380676,0.43410685943632216,144.43240356445312,16
0.5579263216219288,0.44343054488067685,0.44072509037732405,0.44207367837807116,144.01824951171875,17
0.5520810115903588,0.4485586835430748,0.44728111523231034,0.44791898840964106,143.67803955078125,18
0.5469219021139159,0.4531688667034988,0.4529873654230139,0.4530780978860847,143.4414825439453,19
0.5449304597964408,0.4552356199691352,0.4549035815727469,0.45506954020355944,143.2613067626953,20
0.5453712954633058,0.4546426851399278,0.45461472479326315,0.45462870453669463,143.12088012695312,21
0.544033788454092,0.45621175001731734,0.4557209372356486,0.4559662115459084,142.9821014404297,22
0.5425121769796386,0.4581157105847964,0.45686165424958514,0.4574878230203618,142.80491638183594,23
0.5405285740784442,0.4606577370486017,0.45829120920709765,0.4594714259215563,142.64239501953125,24
0.5348656523418213,0.466558261862265,0.4637190984493187,0.4651343476581791,142.41278076171875,25
0.5344472607289923,0.46774645859839536,0.4633795008674206,0.46555273927100793,142.20008850097656,26
0.5340893238423546,0.4684589645736784,0.4633899617282555,0.4659106761576456,142.05438232421875,27
0.5340595258176416,0.4689224141339594,0.46299621968882987,0.4659404741823586,141.89971923828125,28
0.5344463453899593,0.46872639465452837,0.46242357740873197,0.46555365461004083,141.83224487304688,29
0.5352649825498492,0.46846039711261084,0.46106842165756623,0.46473501745015083,141.6686248779297,30
