id,sentence,VI,normalized-VI,homogeneity,completeness,V-score,epoch
0,-,4.637028911114612,0.4881874257501504,0.5599657381627502,0.4712853110840161,0.5118125742498486,1
0,-,4.467778257582841,0.4695308866191117,0.5814131303234366,0.4877334099632625,0.5304691133808878,2
0,-,4.41254496188058,0.463248012326977,0.5889067466575383,0.4930835248107793,0.5367519876730248,3
0,-,4.385254210172864,0.4600705249894063,0.5927952149505895,0.4957208683174955,0.5399294750105941,4
0,-,4.369793190196549,0.4582952349710859,0.5949431750025307,0.4972118312064679,0.5417047650289132,5
0,-,4.361936632731996,0.4573950735339637,0.5960310589768285,0.4979687547793667,0.5426049264660358,6
0,-,4.358322253398579,0.456965915418882,0.5965679395300209,0.4983169215719339,0.5430340845811169,7
0,-,4.355217334675064,0.4566414253409597,0.5969230361666227,0.4986156556003326,0.543358574659041,8
0,-,4.359717539520545,0.4570764731535143,0.5964931160682411,0.4981829347846507,0.542923526846486,9
0,-,4.36197833572659,0.4572906327179846,0.596287638132588,0.4979656300410872,0.5427093672820146,10
0,-,4.3590309449865625,0.4569866990453973,0.5966149739990357,0.4982491111281905,0.5430133009546025,11
0,-,4.360481198887405,0.4571750162034531,0.5963607422717618,0.4981093295447642,0.5428249837965461,12
0,-,4.363020211541456,0.4574586301573021,0.5960264713368628,0.4978649061049698,0.5425413698426977,13
0,-,4.362109443956531,0.4573993464297206,0.5960444106061631,0.4979522381846672,0.5426006535702789,14
0,-,4.361307168444786,0.4573643335690844,0.5960188648798873,0.4980290519737927,0.5426356664309167,15
0,-,4.362016540766191,0.4574675656773062,0.5958679079774645,0.4979605402501083,0.5425324343226942,16
0,-,4.361792279805123,0.4574732476940847,0.5958236323181757,0.4979818909560842,0.5425267523059145,17
0,-,4.362592345079725,0.4575798026431424,0.5956771320810631,0.4979046779514123,0.5424201973568579,18
0,-,4.362720945481498,0.4576168232649164,0.595605847131538,0.4978920974065481,0.5423831767350829,19
0,-,4.363830851273099,0.4577480407352031,0.595442505401629,0.4977850950051799,0.5422519592647969,20
