id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
34,"Investors who want to change the required timing should write their representatives in Congress , he added .",2.1756255254850085,0.3860295815859796,0.5606324710075384,0.6785244799363875,0.6139704184140202
35,"The SEC would likely be amenable to legislation that required insiders to file transactions on a more timely basis , he said .",2.598888587426842,0.456992379107377,0.46701342688684233,0.6485406049985054,0.5430076208926231
36,"The nation 's largest pension fund , which oversees $ 80 billion for college employees , plans to offer two new investment options to its 1.2 million participants .",1.4608457922965625,0.2269496100725199,0.8221367501039979,0.729495266760052,0.7730503899274803
37,"The Teachers Insurance and Annuity Association-College Retirement Equities Fund said it will introduce a stock and bond fund that will invest in `` socially responsible '' companies , and a bond fund .",1.8985075256642556,0.30364206360432755,0.6839367445257011,0.7092386440783769,0.6963579363956726
38,"Both funds are expected to begin operation around March 1 , subject to Securities and Exchange Commission approval .",1.5584021302335147,0.2502889470636624,0.7157706158687076,0.7870304934689274,0.7497110529363373
39,"For its employees to sign up for the options , a college also must approve the plan .",1.4025062498798082,0.24423880862574954,0.6937129647321978,0.8299993732164757,0.7557611913742507
40,"Some 4,300 institutions are part of the pension fund .",0.724511249783653,0.145824812395126,0.9138646883853215,0.8018049229657082,0.8541751876048741
41,"The new options carry out part of an agreement that the pension fund , under pressure to relax its strict participation rules and to provide more investment options , reached with the SEC in December .",2.008963444350939,0.33705893417350935,0.659293575347253,0.666629139745798,0.6629410658264906
42,"The new `` social choice '' fund will shun securities of companies linked to South Africa , nuclear power and in some cases , Northern Ireland .",2.0149491849595575,0.32702290711653775,0.7018982927845641,0.6463449282697087,0.6729770928834625
43,"Also excluded will be investments in companies with `` significant '' business stemming from weapons manufacture , alcoholic beverages or tobacco .",1.7623136333257712,0.2995184990502414,0.7593926697262546,0.6500525746932603,0.7004815009497585
44,"Sixty percent of the fund will be invested in stocks , with the rest going into bonds or short-term investments .",1.066970093169842,0.17988245690899707,0.7984087868118033,0.8430398183110128,0.8201175430910028
45,"The bond fund will invest in high-grade or medium-grade bonds , mortgages or asset-backed securities , including as much as 15 % in foreign securities .",1.3237798377542527,0.22207482658237174,0.7389277405049202,0.8212681811891043,0.7779251734176282
46,"The fund also might buy and sell futures and options contracts , subject to approval by the New York State Insurance Department .",0.9074245827511689,0.14991956730892692,0.8354836279799075,0.8651963508822862,0.8500804326910734
47,"Under two new features , participants will be able to transfer money from the new funds to other investment funds or , if their jobs are terminated , receive cash from the funds .",2.0473476869902916,0.3792935909419986,0.5252234066598382,0.7586196956768513,0.6207064090580018
48,"The investment choices offered by the pension fund currently are limited to a stock fund , an annuity and a money-market fund .",1.157790890569161,0.22201188984465028,0.8057938213422621,0.7520373845926839,0.77798811015535
49,"New Brunswick Scientific Co. , a maker of biotechnology instrumentation and equipment , said it adopted an anti-takeover plan giving shareholders the right to purchase shares at half price under certain conditions .",2.8736036794942574,0.4704474419602897,0.5433523398339395,0.5164363740284776,0.5295525580397105
50,"The company said the plan , under review for some time , will protect shareholders against `` abusive takeover tactics .",2.4176619015793794,0.41715872507689983,0.6682271862491349,0.5168041617441151,0.5828412749231001
51,"W. Ed Tyler , 37 years old , a senior vice president at this printing concern , was elected president of its technology group , a new position .",2.1267093807140514,0.36311307338701615,0.6216438982518795,0.6528962794474003,0.636886926612984
52,"Solo woodwind players have to be creative if they want to work a lot , because their repertoire and audience appeal are limited .",2.2181372241615485,0.4247503647189239,0.5137750076662481,0.65343497112017,0.5752496352810764
53,"The oboist Heinz Holliger has taken a hard line about the problem : He commissions and splendidly interprets fearsome contemporary scores and does some conducting , so he does n't have to play the same Mozart and Strauss concertos over and over again .",2.7012443857334865,0.4274945560791564,0.5140175115822367,0.6460125468473431,0.5725054439208437
54,"Richard Stoltzman has taken a gentler , more audience-friendly approach .",1.2372400431306199,0.23265195694599394,0.7002022810906766,0.8487375675042966,0.7673480430540061
55,"Years ago , he collaborated with the new music gurus Peter Serkin and Fred Sherry in the very countercultural chamber group Tashi , which won audiences over to dreaded contemporary scores like Messiaen 's `` Quartet for the End of Time . ''",2.278977482506162,0.3836897428432949,0.5847944583793605,0.6514164549322279,0.6163102571567054
56,"Today , the pixie-like clarinetist has mostly dropped the missionary work -LRB- though a touch of the old Tashi still survives -RRB- and now goes on the road with piano , bass , a slide show , and a repertoire that ranges from light classical to light jazz to light pop , with a few notable exceptions .",2.4951031956222294,0.41284685921270164,0.5694284064714625,0.6060167698483497,0.5871531407872985
57,"Just the thing for the Vivaldi-at-brunch set , the yuppie audience that has embraced New Age as its very own easy listening .",1.776293607490146,0.30901514981354195,0.6263826810033768,0.7704449226799857,0.690984850186458
58,But you ca n't dismiss Mr. Stoltzman 's music or his motives as merely commercial and lightweight .,2.0008895795001944,0.38273665899335424,0.49812630159337706,0.8113029466747517,0.6172633410066457
59,"He believes in what he plays , and he plays superbly .",1.0083221225091563,0.22031928208942805,0.757479751590903,0.8032223536889557,0.7796807179105719
60,"His recent appearance at the Metropolitan Museum , dubbed `` A Musical Odyssey , '' was a case in point .",2.065908475488292,0.37050877474062266,0.6155343389423624,0.6440957245306869,0.629491225259377
61,"It felt more like a party , or a highly polished jam session with a few friends , than a classical concert .",2.081491433953358,0.4237028963206557,0.4776165072905564,0.7263735156849385,0.5762971036793443
62,"Clad in his trademark black velvet suit , the soft-spoken clarinetist announced that his new album , `` Inner Voices , '' had just been released , that his family was in the front row , and that it was his mother 's birthday , so he was going to play her favorite tune from the record .",2.8808290681912294,0.4681118760666204,0.5017355432356925,0.5658965611609021,0.5318881239333798
63,"He launched into Saint-Saens 's `` The Swan '' from `` Carnival of the Animals , '' a favorite encore piece for cellists , with lovely , glossy tone and no bite .",2.079104063316016,0.4000448993151825,0.5467368605022891,0.664650845348495,0.5999551006848175
64,"Then , as if to show that he could play fast as well , he offered the second movement from Saint-Saens 's Sonata for Clarinet , a whimsical , puckish tidbit that reflected the flip side of the Stoltzman personality .",2.84948186205212,0.47310271224305284,0.4572566151530638,0.6215618190227122,0.5268972877569473
65,"And so it went through the first half : an ingeniously chosen potpourri of pieces , none longer than five minutes , none that would disturb or challenge a listener .",3.095624172034764,0.5991171363486258,0.31972053957681174,0.5372713121779126,0.4008828636513741
66,"Mr. Stoltzman introduced his colleagues : Bill Douglas , pianist/bassoonist/composer and an old buddy from Yale , and jazz bassist Eddie Gomez .",1.9509028436207339,0.345949271084004,0.6756249051145428,0.6338117382939117,0.6540507289159962
67,"An improvisational section was built around pieces by Mr. Douglas , beginning with `` Golden Rain , '' a lilting , laid-back lead in to the uptempo `` Sky , '' which gave Mr. Stoltzman the opportunity to wail in a high register and show off his fleet fingers .",2.1816651457069614,0.36415252754691213,0.6096165937028359,0.6644371988143626,0.6358474724530878
68,Bach 's `` Air '' followed .,1.0728250006181335,0.2702019433296063,0.6808071321652726,0.7863864775827528,0.7297980566703935
69,"Mr. Stoltzman tied the composer in by proclaiming him `` the great improviser of the 18th century , '' and then built on the image by joining with Mr. Douglas in some Bach two-part inventions , cleverly arranged for clarinet and bassoon by Mr. Douglas .",2.2344051886747245,0.3652069178493944,0.5973231589671161,0.6772785881820235,0.6347930821506058
70,"Keeping the mood light , the two then chanted and chortled their way through some murderous polyrhythms , devised by Mr. Douglas as an alternative to Hindemith 's dry theory-teaching techniques , and then , with Mr. Gomez , soared and improvised on the composer 's tight `` Bebop Etudes . ''",2.5894236843045633,0.42794022147538946,0.5180186621963508,0.6386896172167528,0.5720597785246105
71,"The end of the first half , however , brought what the standing-room-only crowd seemed to be waiting for : the pop singer Judy Collins , who appears on `` Inner Voices . ''",2.5610194840283858,0.42714382954255053,0.539130584812513,0.6110827607579288,0.5728561704574495
72,"Glamorous and pure-voiced as ever , Ms. Collins sang Joni Mitchell 's `` For Free '' -- about an encounter with a street-corner clarinetist , to which Mr. Stoltzman contributed a clarinet obligatto -- and Mr. Douglas 's lush setting of a Gaelic blessing , `` Deep Peace . ''",2.6270546296716244,0.45457899520004724,0.4977873434490198,0.6031355153538513,0.5454210047999526
