normalized-VI,homogeneity,completeness,V-score,avg_loss,epoch
0.76888073132602,0.23896464752300048,0.22377265375436253,0.2311192686739801,203.87503051757812,1
0.7272765077051307,0.28080718385420866,0.2650921934885584,0.2727234922948694,153.13449096679688,2
0.7000927773275792,0.30812057206887505,0.2921203789633474,0.2999072226724208,151.19480895996094,3
0.6840637690491205,0.3248416188015011,0.3075060889073478,0.3159362309508799,150.15611267089844,4
0.6701578915190775,0.3384935400461071,0.3216218931178902,0.329842108480923,149.46653747558594,5
0.6566869157106053,0.35185283539659223,0.33517804377672117,0.34331308428939505,148.8708038330078,6
0.6453680341827468,0.36310941497858756,0.3465413287379305,0.3546319658172534,148.3922576904297,7
0.6358335918353347,0.37199530221548904,0.3566602506991437,0.3641664081646654,147.90499877929688,8
0.6256680439295431,0.3814425267226853,0.3674816340964247,0.3743319560704572,147.45985412597656,9
0.6124128710043867,0.39421500328104886,0.38117843643948934,0.38758712899561354,146.9884490966797,10
0.607899646433665,0.3981205566722571,0.38625950799641867,0.3921003535663352,146.5218505859375,11
0.6000365060921273,0.40499704364137534,0.3950535282353113,0.3999634939078729,146.09664916992188,12
0.5904417648480913,0.41381306613524854,0.4053900101329189,0.4095582351519089,145.62713623046875,13
0.5839826646841624,0.41957728376274467,0.41251728815853606,0.41601733531583784,145.2187042236328,14
0.5773809936980502,0.42434769925289817,0.4209043407853933,0.4226190063019501,144.78973388671875,15
0.5699257782552823,0.43024951513447757,0.4298990711337753,0.4300742217447179,144.43780517578125,16
0.5570728583581323,0.4424938166104406,0.44336131619767755,0.44292714164186836,143.94631958007812,17
0.553877536968168,0.4452797648944878,0.44696835685290326,0.4461224630318327,143.55743408203125,18
0.5516960437678176,0.4474514030154135,0.44915976448190864,0.4483039562321824,143.34048461914062,19
0.5501250463228213,0.44926509302574574,0.45048647230555033,0.4498749536771791,143.1605987548828,20
0.5494630719573733,0.4499983165801028,0.45107683039865853,0.450536928042627,143.03143310546875,21
0.5489849809015143,0.45069551075526615,0.45133498077661205,0.45101501909848607,142.90631103515625,22
0.5410445552310676,0.4585084820684563,0.4594032797350204,0.45895544476893263,142.69577026367188,23
0.5405713915503576,0.4595628894105974,0.4592944059376217,0.4594286084496426,142.46975708007812,24
0.540542205386107,0.4604183158521657,0.45850127269667806,0.45945779461389347,142.31295776367188,25
0.5400469959623067,0.4615556569765725,0.45836144232351084,0.4599530040376938,142.1452178955078,26
0.5403351492313074,0.46172018888322247,0.45762773015171954,0.45966485076869246,141.99542236328125,27
0.5423038113784949,0.4602690566699839,0.4551519249394053,0.4576961886215056,141.84344482421875,28
0.5437377562472554,0.4593050288601685,0.4532595087588088,0.4562622437527451,141.72561645507812,29
0.5424334308681816,0.4611250556543811,0.4540625834692252,0.4575665691318182,141.6232452392578,30
0.5433486376542431,0.4606132966186636,0.452757003449836,0.456651362345757,141.473876953125,31
0.5443009627819406,0.45996205247628025,0.4515143171677233,0.45569903721805927,141.41786193847656,32
0.5459048795329007,0.45864712825314224,0.4496325807878473,0.4540951204670996,141.31646728515625,33
0.5471585650578095,0.457621429439355,0.44816026517267643,0.4528414349421904,141.24822998046875,34
0.5481028837099234,0.456790815632995,0.4471071600551989,0.45189711629007673,141.15631103515625,35
0.5487265910598702,0.45631401354008866,0.44634294822400294,0.4512734089401293,141.0565948486328,36
0.5501371046148518,0.455023038838245,0.4448184757632617,0.44986289538514845,141.02757263183594,37
0.5512618291829651,0.4539570922833959,0.4436378842116273,0.44873817081703515,140.967529296875,38
0.5523611294331777,0.4528008776290895,0.44259323239732634,0.4476388705668224,140.88262939453125,39
0.553195320566799,0.45162561824363057,0.44208557708381885,0.44680467943320085,140.81512451171875,40
