normalized-VI,homogeneity,completeness,V-score,avg_loss,epoch
0.628397419420516,0.38761386570408723,0.356861589195571,0.37160258057948425,193.32431030273438,1
0.594191419163611,0.420770512035677,0.39187415809412784,0.4058085808363895,148.9585418701172,2
0.5790912944704814,0.4339775577921141,0.4086039569287359,0.42090870552951865,147.19052124023438,3
0.5645786970745437,0.4478532939347589,0.42366087107961536,0.43542130292545633,146.27203369140625,4
0.5531752714448663,0.45790875905240724,0.43626461115333437,0.44682472855513267,145.6276397705078,5
0.5444144806614389,0.46442649798762375,0.44707485243637307,0.45558551933856156,145.08387756347656,6
0.5351028191076878,0.4710930518382152,0.45886217191049894,0.4648971808923131,144.5993194580078,7
0.526860951737741,0.4767193752486867,0.4696120993698437,0.4731390482622596,144.18292236328125,8
0.5171407684484154,0.482957337300065,0.4827611656525182,0.48285923155158517,143.8011474609375,9
0.5059572827303112,0.490085198240159,0.4980646718684694,0.4940427172696891,143.38389587402344,10
0.4963916808437044,0.49647304866944203,0.5109516752935545,0.5036083191562954,142.93861389160156,11
0.4911381158457921,0.4999188281269983,0.5181307332475972,0.5088618841542085,142.56480407714844,12
0.4894596642924812,0.5001513188040909,0.5213701038561973,0.5105403357075189,142.25936889648438,13
0.4875805403262545,0.5022485765578419,0.523010792099732,0.5124194596737456,142.0021514892578,14
0.48589675827154516,0.5044619289575322,0.5241202660558731,0.5141032417284549,141.7891082763672,15
0.48455117269974074,0.5065408259813098,0.5246757484475072,0.5154488273002594,141.58599853515625,16
0.4832219565258861,0.5090536715610644,0.5247404462442994,0.5167780434741143,141.3713836669922,17
0.4815062667738039,0.5114138434529465,0.5257723993809911,0.5184937332261963,141.11431884765625,18
0.47807127139127226,0.5155903515412738,0.5284248862086606,0.5219287286087277,140.80532836914062,19
0.4760355024423616,0.5183433635396694,0.5297088840730761,0.5239644975576386,140.48651123046875,20
