id,sentence,VI,normalized-VI,homogeneity,completeness,V-score,epoch
0,-,5.5001433713454,0.7355308865018665,0.2797932771065167,0.2507363840640756,0.2644691134981338,1
0,-,4.79895845067,0.6370905283666621,0.3867527087029844,0.3418353800450944,0.3629094716333378,2
0,-,4.531451835962976,0.6031896325422166,0.4217506202637323,0.3746551109323721,0.3968103674577832,3
0,-,4.308957311361288,0.5764991169642867,0.447834023127638,0.4016757602429839,0.4235008830357135,4
0,-,4.196423396142221,0.5627243547801809,0.4613474204706693,0.4155912925053449,0.4372756452198193,5
0,-,4.101271695496147,0.5498551462410163,0.4750198473946691,0.4277454420160822,0.4501448537589838,6
0,-,4.034183285792556,0.5419049871225633,0.4824777179231565,0.4360581856253087,0.4580950128774367,7
0,-,3.8579345941835377,0.5163655695253132,0.5112155020788216,0.4588771166596284,0.4836344304746869,8
0,-,3.83988539577471,0.5131247543634277,0.515468593731317,0.461287362517096,0.4868752456365726,9
0,-,3.804562976220956,0.5071154889461879,0.5231573027642219,0.4659235808669861,0.4928845110538122,10
0,-,3.777629771272468,0.5025327174239106,0.5290647095843277,0.4694313494814896,0.4974672825760894,11
0,-,3.757912012202844,0.4992790377309734,0.5331977001971222,0.4719733605202009,0.5007209622690271,12
0,-,3.731661579046694,0.4955721128648408,0.537382722956423,0.4752813966956518,0.5044278871351595,13
0,-,3.725293820161408,0.4946672868154664,0.5384110624257092,0.4760835764053341,0.5053327131845335,14
0,-,3.738477360771339,0.4965569056461785,0.5362475693839,0.4744208167257651,0.5034430943538213,15
0,-,3.7515469928696663,0.4981141219893921,0.5347807078078736,0.4728033309548395,0.501885878010608,16
0,-,3.740614574312792,0.4967821973747711,0.5360708030388303,0.4741590524420678,0.5032178026252291,17
0,-,3.74102241514535,0.4968556251380266,0.5359718007346882,0.4741061239354207,0.5031443748619735,18
0,-,3.7624013100468594,0.4998618476490563,0.5325916236737129,0.4714126234887831,0.5001381523509442,19
0,-,3.771968866811629,0.5009693686491608,0.531585775339974,0.4702328372146935,0.4990306313508389,20
