id,sentence,VI,normalized-VI,homogeneity,completeness,V-score,epoch
0,-,8.441345426334536,0.8750194862257743,0.1388780284557258,0.1136114262264989,0.124980513774226,1
0,-,8.376468606530912,0.8736737278760471,0.1395091390110229,0.1154197258384762,0.126326272123953,2
0,-,8.184480875641649,0.8728260604934821,0.137359546235461,0.1183946356259209,0.1271739395065184,3
0,-,7.783796247509512,0.8718920862191254,0.1317352413294463,0.1246749901248074,0.1281079137808748,4
0,-,7.343866511614794,0.8710933380613309,0.1251793619083194,0.1328627397320546,0.1289066619386693,5
0,-,7.055493226805426,0.8714532331806497,0.1198786216469281,0.1385661649152763,0.1285467668193505,6
0,-,6.902452396289786,0.8743867131006349,0.1142175235593429,0.1395350412713408,0.1256132868993655,7
0,-,6.839016391487069,0.8733213975370288,0.1142668081599794,0.1421153364716531,0.1266786024629715,8
0,-,6.82861863580219,0.8710727961132686,0.1164180341273242,0.1444482307965673,0.1289272038867318,9
0,-,6.824962207476874,0.8666481521582051,0.1209633380059982,0.1485674434494626,0.1333518478417951,10
0,-,6.839573011077508,0.866201906013775,0.1216906107769855,0.1485810100456799,0.1337980939862252,11
0,-,6.852054073964123,0.8661583317426217,0.1219585141868039,0.148290507337131,0.1338416682573787,12
