id,sentence,VI,normalized-VI,homogeneity,completeness,V-score,epoch
0,-,5.410672901169658,0.8995479893192208,0.0854820239462403,0.1217783731972143,0.1004520106807796,1
0,-,5.709301050213373,0.8505026571770399,0.1419809122433786,0.1578540953665081,0.1494973428229605,2
0,-,5.413803416081181,0.8676552936571716,0.1168291064960784,0.1526125617686449,0.1323447063428288,3
0,-,5.356173667837312,0.8663495800211573,0.1169017542457561,0.1560008661064151,0.1336504199788432,4
0,-,5.458303329861127,0.8659427446007489,0.1195495738131348,0.1525723443262273,0.1340572553992514,5
0,-,5.462590757283561,0.8275359745035679,0.1610643860664788,0.1856002365914361,0.1724640254964323,6
0,-,5.548433483695642,0.8252083500121433,0.166271062409773,0.1842326837674909,0.1747916499878568,7
0,-,5.4495658222584975,0.7980898463838726,0.1950551834208315,0.2092644921763479,0.2019101536161276,8
0,-,5.376362939748232,0.7730884979040495,0.2232570064963349,0.2306876296207488,0.2269115020959508,9
0,-,5.034528171888841,0.70267237591542,0.3013910662844474,0.2933722933190047,0.2973276240845799,10
0,-,4.450010119101426,0.6065749659636028,0.4083454555440741,0.3795565233490183,0.3934250340363974,11
0,-,4.281555615464501,0.5766087554119081,0.4447863488372048,0.4039599700143123,0.423391244588092,12
0,-,4.187867740320792,0.5618287415373386,0.4620852558626918,0.4166106773191759,0.4381712584626612,13
0,-,4.071991735170699,0.5453120860835788,0.4803572993679371,0.4316228075245908,0.4546879139164217,14
0,-,3.9981483519328367,0.5346423118353483,0.4923474483769035,0.4411732234107938,0.4653576881646521,15
0,-,3.994040068861193,0.5342496219896959,0.4926184002989064,0.4416616030333273,0.4657503780103048,16
0,-,3.9816525446719457,0.5329960437208154,0.4935704526869159,0.4431512787324685,0.4670039562791845,17
0,-,3.957447860274633,0.5305309825727255,0.4954508823919461,0.4460763926300639,0.469469017427275,18
0,-,3.979462109276531,0.5332618722538401,0.4927723602723471,0.4433167427536622,0.4667381277461603,19
0,-,3.979159016470392,0.5337206334539046,0.4918273995980737,0.4432544606147146,0.4662793665460956,20
