normalized-VI,homogeneity,completeness,V-score,avg_loss,epoch
0.6283712331538732,0.38764747203686817,0.35688140382108213,0.3716287668461259,193.3243408203125,1
0.5944542556829707,0.4202934305084025,0.39179793716996053,0.40554574431702994,148.9658203125,2
0.5790175614284758,0.4338633791135412,0.4088442881309014,0.4209824385715245,147.19842529296875,3
0.5646919883244238,0.4475455041698738,0.42372194049800715,0.4353080116755767,146.2864532470703,4
0.5525297528120523,0.45844334098280803,0.43701016818554006,0.44747024718794737,145.63955688476562,5
0.5443149359708327,0.46434373709505533,0.44734339830891445,0.4556850640291677,145.08370971679688,6
0.5348546871088636,0.4716169436833192,0.4588488881479844,0.46514531289113636,144.6087188720703,7
0.5263431790349381,0.47759829666042297,0.46977986841627883,0.47365682096506256,144.18911743164062,8
0.5173085786341198,0.4828588582237284,0.4825241005890894,0.4826914213658806,143.80718994140625,9
0.5052055019720174,0.49105777594315125,0.49858852562764283,0.49479449802798237,143.38926696777344,10
0.49541229596945835,0.4974682855153901,0.5119138574783304,0.5045877040305419,142.9521942138672,11
0.49086571093995507,0.4996421211571387,0.5189941046630037,0.5091342890600457,142.5779571533203,12
0.4885507739130215,0.5011050035345296,0.5222295182862319,0.5114492260869776,142.25921630859375,13
0.48644991326535725,0.5031004250566706,0.5244430459259904,0.5135500867346431,142.02113342285156,14
0.48593249729091026,0.5042007512154101,0.524328128729275,0.5140675027090896,141.802734375,15
0.4842181965040598,0.506832668621386,0.5250526482065301,0.5157818034959408,141.59535217285156,16
0.48266637621422065,0.5095382897874472,0.525371182339313,0.5173336237857797,141.38546752929688,17
0.48072839770705766,0.5119854451236173,0.5267681345809296,0.5192716022929423,141.13851928710938,18
0.47752954807549103,0.5162264898297683,0.5288673096990832,0.522470451924509,140.81370544433594,19
0.47436717147346746,0.5202030686315863,0.5311771331813426,0.5256328285265325,140.50302124023438,20
0.4727282356058409,0.5216337735656349,0.5330329614257028,0.5272717643941591,140.1856689453125,21
0.4705282218481012,0.5234179070132545,0.5356673265360478,0.5294717781518982,139.83970642089844,22
0.46896176913296744,0.52460704687012,0.5376290522788302,0.5310382308670331,139.55490112304688,23
0.46793213934740713,0.5249342692686616,0.5393980069203098,0.5320678606525928,139.25448608398438,24
0.46625652285157637,0.5257550733824756,0.5419783803453807,0.533743477148424,138.96380615234375,25
0.4639798671043379,0.5271593792141528,0.5451838507446856,0.5360201328956617,138.68800354003906,26
0.46124665832983575,0.5288579857737564,0.5490260583346859,0.538753341670164,138.44960021972656,27
0.46002048224235503,0.5295468534816626,0.5508315136032836,0.5399795177576447,138.27439880371094,28
0.45891259898044356,0.529977819265163,0.5526727213057588,0.5410874010195569,138.12916564941406,29
0.4568330499011356,0.5313509981053746,0.5555203700555159,0.5431669500988643,138.03286743164062,30
0.4548138567763252,0.532695643807497,0.5582764543770007,0.5451861432236745,137.9425048828125,31
0.45383671248931523,0.5333251188762724,0.5596347806647953,0.5461632875106845,137.92141723632812,32
0.4525680387217855,0.534422706233595,0.5610903776224897,0.5474319612782144,137.8433837890625,33
0.44632884529250016,0.5398885810666566,0.5681758616579183,0.5536711547074992,137.71807861328125,34
0.4461811980576375,0.5403006902920252,0.5680307077688942,0.5538188019423627,137.615234375,35
0.44553433708294055,0.541174847325923,0.5684257383018546,0.5544656629170588,137.47183227539062,36
0.4445590363363282,0.5424385241430537,0.5690820579280722,0.5554409636636708,137.38462829589844,37
0.4459984189145475,0.5413576998184665,0.5672502043806756,0.5540015810854529,137.32423400878906,38
0.44698506255796105,0.5403932865263862,0.5662402815503065,0.553014937442039,137.2047119140625,39
0.4458816537945231,0.5415110516410412,0.5673266721451218,0.5541183462054772,137.10797119140625,40
